Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI
13.75,8.85,7.54,0.25,59.5,0.5187937934151675,1.6094379124341003,4.787491742782046,5.020585624949423,30.32503834
12.65,8.7,7.625,0.3,54.5,0.521765563804325,3.091042453358316,4.700480365792417,5.3981627015177525,44.07282563
16.55,8.2,7.9,0.2,20.25,0.262364264467491,1.0986122886681098,3.7256934272366524,5.358941988364472,42.35104235
17.0,8.2,8.1,0.15,24.0,0.4382549309311553,1.3862943611198906,3.8918202981106265,5.382198850528739,43.36769579
16.1,8.05,7.9,0.2,47.5,0.37156355643248307,1.6094379124341003,4.564348191467836,5.384495062789089,43.44803537
17.55,8.65,7.6,0.2,52.25,0.4700036292457356,1.7047480922384253,4.658710952916121,5.517452896464707,49.606431
11.5,9.65,7.75,0.2,142.5,0.262364264467491,3.979681653901961,5.655991810819852,4.483002552013883,17.85655392
21.1,8.7,8.0,0.0,1.0,0.4054651081081644,1.0986122886681098,1.0986122886681098,5.3706380281276624,42.88327649
26.0,8.9,8.0,0.0,6500.0,0.4054651081081644,7.601402334583733,9.472781556562168,5.375278407684165,43.4338253
20.0,7.75,7.6,1.05,41.0,0.22314355131420976,3.676300671907076,4.418840607796598,5.3471075307174685,41.88003135
21.5,8.15,7.85,1.2,89.75,0.3001045924503381,4.471638793363569,5.195730777772936,5.53338948872752,50.42990031
21.5,8.2,7.7,1.2,60.0,0.22314355131420976,4.23410650459726,4.795790545596741,5.564520407322694,51.99759477
21.0,7.95,8.0,1.35,240.0,0.4382549309311553,5.680172609017068,6.175867270105761,5.545177444479562,51.0764992
20.5,7.6,7.75,1.55,337.5,0.5306282510621704,5.929589143389895,6.516193076042964,5.6222108209623896,55.14885741
20.0,7.9,7.55,1.35,217.5,0.5007752879124893,5.707110264748875,6.077642243349034,5.69035945432406,58.98332696
20.5,8.3,7.75,1.3,277.5,0.4382549309311553,5.8805329864007,6.320768294250582,5.54907608489522,51.28418977
20.0,7.8,7.8,1.3,210.0,0.5877866649021191,5.3981627015177525,6.042632833682381,5.543222409643759,50.97599825
19.5,8.3,7.7,1.2,187.5,0.37156355643248307,5.153291594497779,5.929589143389895,5.537334267018537,50.64576214
23.0,8.15,7.7,1.2,187.5,0.5306282510621704,5.442417710521793,5.929589143389895,5.568344503761097,52.26402829
9.5,8.85,7.9,0.9,411.5,0.5596157879354227,4.041295341132285,6.714170529909472,7.204892510204673,266.6444468
9.5,8.4,7.6,0.55,409.75,0.5596157879354227,3.0633909220278057,6.709913910530146,7.200797957676014,265.5162229
11.25,8.6,7.55,0.6,423.5,0.5794184152316023,4.671893818030999,6.742880635791903,7.186901020411631,261.8833697
11.25,8.7,7.6,0.95,452.5,0.5766133643039938,3.8897773964808264,6.80903930604298,7.165879799191592,256.4534562
12.0,8.65,7.75,0.95,430.0,0.6259384308664953,3.6082115510464816,6.7580945044277305,7.108244139731541,242.1234217
11.5,8.5,7.9,0.65,70.45,0.5306282510621704,3.4011973816621555,4.955122584165997,7.194061405253987,263.7501467
11.5,8.5,7.7,0.7,177.5,0.5596157879354227,3.8918202981106265,5.87493073085203,7.183870715062453,261.0846822
17.0,9.85,8.2,0.1,97.5,0.1484200051182733,3.1780538303479458,5.278114659230517,7.069023426578259,232.7794135
16.0,9.8,7.85,0.45,125.0,0.2271355725837472,3.1354942159291497,5.5254529391317835,6.523562306149512,135.0744788
12.0,7.65,7.85,0.25,42.95,0.4574248470388754,3.0155349008501706,4.464758032271346,7.21927594091376,270.4221597
19.75,9.05,8.3,0.25,112.5,0.09531017980432487,3.349904087274605,5.420534999272286,5.634789603169249,55.73279407
20.0,9.7,8.3,0.25,130.0,0.1397619423751587,3.58351893845611,5.564520407322694,4.973279507552487,28.95514187
10.35,8.7,7.9,0.7,81.5,0.4382549309311553,3.2771447329921766,5.099866427824199,6.62472901806655,149.4100527
10.35,8.75,7.65,0.6,108.5,0.4382549309311553,3.4965075614664802,5.384495062789089,6.61472560020376,147.918346
17.5,8.45,7.85,0.0,392.5,1.410986973710262,5.4638318050256105,6.666956792429207,5.998936561946683,80.32884309
18.0,8.4,7.65,0.0,245.0,1.1151415906193203,4.959341999708705,6.19644412779452,5.718671087149952,60.72754744
